序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
98,300958,建工修复,-0.34,796532027.2,-36.10416826,-21.6866,-53393212.19,-178.12,-1431.2106,8.404045245,-3.95,-0.197498664,21.8749016,环保行业,2025/4/24
99,300921,南凌科技,0.14,601360962.5,-0.389087684,13.1008,18303031.61,-51.22,3264.6134,6.221546418,2.23,0.213611228,29.80503069,通信服务,2025/4/24
100,300915,海融科技,1.241,1087164361,13.89073344,29.7818,110793750.1,23.78,28.1076,17.24103427,7.31,1.914653243,35.03055886,食品饮料,2025/4/24
101,300911,亿田智能,0.1917,702795457.2,-42.7345061,139.4908,26541434.6,-85.17,231.1662,9.674930658,1.83,0.14411549,39.71397575,家电行业,2025/4/24
102,300868,杰美特,0.0566,761637261.7,12.5880464,60.947,7074173.83,107.72,64.7811,11.94741606,0.46,0.524043378,22.92576512,电子元件,2025/4/24
103,300850,新强联,0.18,2945577926,4.318770033,7.9933,65377669.28,-82.56,56.8951,13.77908991,1.28,1.236862694,18.5339305,风电设备,2025/4/24
104,300845,捷安高科,0.38,383880467.6,7.835382498,433.9988,54932477.38,9.12,4105.3895,5.727247172,6.75,0.37514787,48.00503115,软件开发,2025/4/24
105,300827,上能电气,1.17,4773403837,-3.228667819,49.0968,418777240.9,46.49,-17.1969,6.014236294,21.45,0.338094256,22.92162412,光伏设备,2025/4/24
106,300809,华辰装备,0.24,445987537,-6.923629766,124.3832,61980619.27,-47.36,-62.3024,6.337167462,3.91,0.495833296,28.54284324,通用设备,2025/4/24
107,300787,海能实业,0.2931,2212655056,16.26355095,6.3462,76690736.59,-40.45,44.4578,5.609985995,4.73,0.336264176,26.20079961,消费电子,2025/4/24
108,300757,罗博特科,0.41,1106297342,-29.60411039,-69.6113,63885466.86,-17.17,-143.0119,6.498880161,6.41,-2.045668147,28.70389046,专用设备,2025/4/24
109,300756,金马游乐,0.05,576868212.5,-21.88177554,-20.6184,7353245.04,-84.07,-932.6994,8.761751265,0.53,0.983438418,31.00255672,旅游酒店,2025/4/24
110,300752,隆利科技,0.47,1320131910,28.63589639,17.9878,106376207.9,132.9,8.4457,5.238875921,9.27,1.543450983,18.42759484,光学光电子,2025/4/24
111,300746,汉嘉设计,-1.9,1057380418,-53.49821986,36.4515,-429667795.3,-4033.95,-63907.8562,3.314313825,-43.68,-0.03593149,11.6600137,工程咨询服务,2025/4/24
112,300733,西菱动力,0.1697,1753373642,15.38316154,25.7775,50614094.49,147.89,4.6137,5.316734929,3.17,0.172068739,15.4355174,汽车零部件,2025/4/24
113,300724,捷佳伟创,7.94,18887205249,116.2633848,14.3599,2763592212,69.18,-7.0056,31.88458516,27.98,8.486345064,26.45542772,光伏设备,2025/4/24
114,300705,九典制药,1.05,2930677499,8.845497624,0.6527,512377174.2,39.13,-62.1734,4.994552009,23.27,1.50417801,73.23493441,化学制药,2025/4/24
115,300701,森霸传感,0.14,446371037,51.33371859,13.2314,39413298.47,-30.17,-86.2235,3.320898953,4.27,0.334861906,38.81386562,光学光电子,2025/4/24
116,300700,岱勒新材,-0.6312,359301962.5,-57.63436403,-21.6093,-243615643.2,-316.63,-269.3845,2.404030194,-21.99,0.491925673,-6.095238022,通用设备,2025/4/24
117,300689,澄天伟业,0.1,360189004.7,-8.646196234,21.3333,11572839.74,29.77,1005.8555,5.8581235,1.72,0.270489294,16.92767408,通信设备,2025/4/24
118,300684,中石科技,0.6761,1566285116,24.51470623,4.0916,201387773.1,173.04,-0.0605,6.790312479,10.32,0.800873092,30.95000124,消费电子,2025/4/24
119,300677,英科医疗,2.26,9523317123,37.64556075,-6.2445,1465476194,282.63,674.6083,26.93307204,8.76,1.669867965,23.63640138,医疗器械,2025/4/24
120,300655,晶瑞电材,-0.18,1435111215,10.44286036,2.2062,-179593810.8,-1311.61,-3295.2229,2.269841324,-7.2,0.246121958,19.22616576,电子化学品,2025/4/24
121,300652,雷迪克,1.17,740098633.5,13.53275838,17.2792,120164112.1,-0.18,-20.6938,13.55363191,8.89,0.509742261,31.6079816,汽车零部件,2025/4/24
122,300650,太龙股份,0.23,2573607712,-2.684061973,-4.0896,51162221.07,19.44,28.1622,5.707845881,4.19,1.766648235,8.578532377,光学光电子,2025/4/24
123,300645,正元智慧,0.09,1194848876,-2.433657137,53.0241,11991871.21,-71.35,-89.5126,7.238918196,1.12,1.357591701,43.16529074,互联网服务,2025/4/24
124,300594,朗进科技,-0.83,880971281.5,-2.352606253,47.7765,-76405989.63,-2309.28,-54.2769,9.141314223,-8.66,-1.107252841,20.41569782,交运设备,2025/4/24
125,300591,万里马,-0.4336,586570864,-5.069185119,-8.2489,-175898033,-145.83,-180.4899,0.77369511,-43.74,0.193361853,13.57483729,纺织服装,2025/4/24
126,300589,江龙船艇,0.0298,1729394701,45.71689263,2.6163,11247815.91,-74.48,-465.2153,2.184541609,1.38,-0.902283165,8.14703369,船舶制造,2025/4/24
127,300576,容大感光,0.41,949376259.5,18.76977595,7.9479,122352632.7,43.13,-48.4194,4.603653476,9.41,0.405643223,37.0708745,电子化学品,2025/4/24
128,300572,安车检测,-1.06,448205626.6,-3.049480801,12.6912,-212859371.5,-263.73,-1559.4239,7.827987254,-11.12,0.2298428,28.44015289,专业服务,2025/4/24
129,300569,天能重工,-0.2559,3273045306,-22.72317566,118.4665,-261506333.1,-204,-350.7008,5.029625723,-4.76,0.453208832,14.29158827,风电设备,2025/4/24
